default,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
1,0,1.867784437,0.066157442,1.666478059,-0.096194976,0.647261887,1,2,10,0.27066825,N,Low,29-Feb-20
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,,N,High,29-Feb-20
1,1,1.867784437,-0.290540296,1.666478059,-0.096194976,-0.504304906,1,1,10,,Y,High,31-Jan-18
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,,Y,Low,29-Feb-20
0,1,-1.379541231,0.066157442,-0.490906623,-0.477077425,0.406273195,0,1,10,0.112517252,Y,Low,31-Jan-18
0,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,1,10,0.279964839,Y,High,29-Feb-20
1,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,0.230768773,1,2,10,,N,Low,31-Jan-18
1,5,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,0,1,10,0.36221106,N,High,31-Jan-18
0,0,-1.360383125,-0.290540296,-0.227743901,-0.096194976,0.647261887,1,2,10,0.905068696,N,Low,29-Feb-20
1,2,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,N,Low,31-Jan-18
0,0,-1.360383125,-0.290540296,-0.227743901,-0.096194976,0.647261887,0,1,10,0.636623428,N,,5-Mar-19
0,0,-1.379541231,0.066157442,-0.227743901,-0.096194976,-0.391684899,0,2,10,0.750680495,Y,Low,29-Feb-20
1,3,1.867784437,0.066157442,1.666478059,-0.096194976,0.259899026,0,1,10,0.893816296,Y,,5-Mar-19
1,0,-0.351837351,0.066157442,-0.227743901,-0.096194976,0.259899026,1,1,10,0.25949099,N,Low,29-Feb-20
1,1,1.867784437,0.066157442,-0.227743901,1.915782436,0.647261887,0,1,10,0.872664019,Y,High,29-Feb-20
1,1,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.216030043,N,Low,31-Jan-18
1,0,1.867784437,0.066157442,1.666478059,-0.096194976,0.230768773,1,1,10,,N,Low,5-Mar-19
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,0,1,10,0.411255491,N,Low,5-Mar-19
1,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,0.444088391,Y,,29-Feb-20
1,3,1.867784437,0.066157442,-0.227743901,-0.096194976,0.230768773,1,1,10,,Y,Low,5-Mar-19
1,2,1.867784437,0.066157442,-0.227743901,-0.096194976,0.647261887,0,1,10,,Y,Low,31-Jan-18
0,1,1.867784437,0.066157442,-0.227743901,1.915782436,-0.900150976,0,1,10,,N,Low,5-Mar-19
0,0,1.867784437,0.066157442,-0.227743901,-0.096194976,0.259899026,1,1,10,0.058576824,N,High,31-Jan-18
0,1,1.867784437,0.066157442,-0.227743901,1.915782436,0.230768773,0,1,10,0.519598914,Y,Low,5-Mar-19
1,1,1.867784437,-0.290540296,1.666478059,-0.096194976,-0.391684899,0,1,10,,N,,31-Jan-18
1,0,1.867784437,0.066157442,-0.227743901,1.915782436,0.230768773,0,1,10,0.602472782,N,,29-Feb-20
0,0,-0.351837351,0.066157442,1.666478059,-0.477077425,-0.504304906,0,1,10,0.042019045,N,Low,31-Jan-18
1,0,-1.360383125,0.066157442,-0.227743901,-0.096194976,0.259899026,0,1,10,0.425771032,Y,Low,29-Feb-20
1,2,1.867784437,0.066157442,1.666478059,-0.096194976,0.647261887,0,2,10,0.883316809,Y,,29-Feb-20
